Date,Station,Showalter,SWEAT,K,TotalsTotals,CAPE,BulkRichardsonNumber,TempK
12Z 26May2015,72274,6.17,55.59,17.10,39.60,0.00,0.00,0.00,272.60

12Z 27May2015,72274,6.19,42.80,-2.50,39.20,0.00,0.00,0.00,271.48

12Z 28May2015,72274,3.26,40.00,2.50,45.00,0.00,0.00,0.00,268.57

12Z 29May2015,72274,7.33,29.99,11.50,36.40,0.00,0.00,0.00,269.06

12Z 30May2015,72274,6.57,28.98,12.70,37.20,0.00,0.00,0.00,270.76

12Z 01Jun2015,72274,4.96,30.98,18.90,40.60,0.00,0.00,0.00,266.22

12Z 02Jun2015,72274,6.16,25.99,-1.30,38.60,0.00,0.00,0.00,268.28

12Z 03Jun2015,72274,11.66,35.99,-18.50,26.40,0.00,0.00,0.00,263.72

12Z 04Jun2015,72274,9.06,37.00,-9.90,31.60,0.00,0.00,0.00,260.83

12Z 05Jun2015,72274,-0.30,180.20,35.30,49.40,38.56,0.29,0.35,280.49

12Z 06Jun2015,72274,0.54,159.40,31.10,48.80,15.70,0.08,0.13,278.65

12Z 07Jun2015,72274,3.57,112.78,18.90,43.00,0.00,0.00,0.00,276.19

12Z 08Jun2015,72274,5.13,43.21,23.30,40.40,0.00,0.00,0.00,271.69

12Z 09Jun2015,72274,1.41,223.79,32.50,41.80,104.44,4.83,5.99,290.18

12Z 10Jun2015,72274,-1.35,226.41,35.00,45.30,605.81,14.25,21.13,291.32

12Z 11Jun2015,72274,1.38,216.78,4.30,42.80,83.10,0.90,2.14,286.56

12Z 12Jun2015,72274,7.50,62.81,24.30,35.80,0.00,0.00,0.00,270.91
Can'tget12Z 13Jun2015.

12Z 14Jun2015,72274,3.14,83.80,23.90,44.00,0.00,0.00,0.00,275.54

12Z 15Jun2015,72274,1.80,93.99,25.70,46.40,0.00,0.00,0.00,274.46

12Z 16Jun2015,72274,1.11,39.00,24.10,48.20,0.00,0.00,0.00,274.18

12Z 17Jun2015,72274,0.02,102.18,23.50,49.80,12.68,2.46,3.96,278.70

12Z 18Jun2015,72274,2.89,68.82,18.70,44.60,0.00,0.00,0.00,269.76

12Z 19Jun2015,72274,6.32,38.01,11.10,37.60,0.00,0.00,0.00,268.05

12Z 20Jun2015,72274,11.73,29.99,-5.50,22.40,0.00,0.00,0.00,265.20

12Z 21Jun2015,72274,-0.08,171.21,14.90,46.60,397.66,43.35,51.51,283.37

12Z 22Jun2015,72274,-2.42,241.41,17.50,51.60,322.97,26.19,32.52,283.53

12Z 23Jun2015,72274,0.19,132.21,21.50,48.80,11.37,0.03,1.50,278.56

12Z 24Jun2015,72274,3.00,53.00,23.70,44.40,0.00,0.00,0.00,271.18

12Z 25Jun2015,72274,-3.07,260.78,34.30,52.80,240.38,14.05,16.81,283.16

12Z 26Jun2015,72274,-3.20,254.41,29.90,52.40,526.17,34.49,38.55,286.64

12Z 27Jun2015,72274,-1.90,216.00,32.30,50.60,285.37,10.39,12.07,286.52

12Z 28Jun2015,72274,-1.68,204.59,35.10,49.60,430.49,14.75,17.42,286.10

12Z 29Jun2015,72274,-0.33,158.20,33.30,48.40,424.91,20.64,26.37,285.99

12Z 30Jun2015,72274,-4.13,326.39,43.60,52.60,1121.33,38.84,40.95,287.34

12Z 01Jul2015,72274,-0.51,201.20,35.10,48.00,522.78,23.51,27.84,288.28

12Z 02Jul2015,72274,-1.42,212.98,37.30,47.20,982.62,140.67,157.90,289.01

12Z 03Jul2015,72274,0.15,178.60,36.60,46.60,163.74,70.32,92.71,284.12

12Z 04Jul2015,72274,0.56,124.19,35.70,47.20,2.19,0.08,0.44,280.58

12Z 05Jul2015,72274,-2.06,200.01,41.40,48.60,471.03,30.40,34.58,286.66

12Z 06Jul2015,72274,-0.85,195.99,39.80,46.80,926.28,233.42,267.35,289.72

12Z 07Jul2015,72274,-2.28,218.18,31.70,50.20,1165.83,128.89,144.64,288.21

12Z 08Jul2015,72274,-1.78,206.98,35.30,51.60,117.18,6.68,9.73,281.86

12Z 09Jul2015,72274,-1.25,362.57,34.10,47.40,605.87,16.56,20.57,286.44

12Z 10Jul2015,72274,-3.25,417.17,40.40,50.60,781.06,14.40,17.58,286.56

12Z 11Jul2015,72274,-1.94,226.59,38.70,48.40,715.89,16.18,19.04,286.63

12Z 12Jul2015,72274,1.67,148.79,34.80,44.40,0.00,0.00,0.00,281.42

12Z 13Jul2015,72274,-0.81,167.80,33.10,49.40,162.49,26.73,31.33,283.44

12Z 14Jul2015,72274,-0.24,154.60,36.30,48.00,86.27,2.29,3.58,283.71

12Z 15Jul2015,72274,-1.96,212.41,39.40,51.80,35.85,2.29,3.22,281.22

12Z 16Jul2015,72274,-1.25,157.58,38.00,49.40,165.11,9.77,12.46,282.60

12Z 17Jul2015,72274,-0.56,134.39,36.70,49.00,447.63,135.70,146.72,285.53

12Z 18Jul2015,72274,-3.82,261.00,39.50,52.00,771.33,82.44,93.74,288.70

12Z 19Jul2015,72274,-0.61,183.80,36.80,46.30,293.44,28.88,34.02,289.54

12Z 20Jul2015,72274,-1.74,232.61,35.70,47.00,758.82,48.47,55.24,288.76

12Z 21Jul2015,72274,0.10,168.41,28.90,46.40,547.22,48.45,65.08,287.59

12Z 22Jul2015,72274,0.67,154.81,37.10,45.80,59.60,36.58,83.70,283.61

12Z 23Jul2015,72274,-1.85,184.79,40.30,48.60,500.22,7080.47,7796.55,287.61

12Z 24Jul2015,72274,-0.32,188.41,38.10,45.60,717.39,3924.14,4358.83,290.67

12Z 25Jul2015,72274,1.11,164.98,36.90,45.20,161.46,39.93,51.35,285.75

12Z 26Jul2015,72274,6.72,41.19,23.10,37.00,75.64,10.67,11.37,271.04

12Z 27Jul2015,72274,-0.25,169.61,30.50,47.40,100.46,19.93,24.61,285.04

12Z 28Jul2015,72274,-4.25,270.39,39.70,52.00,850.88,643.26,705.16,287.08

12Z 29Jul2015,72274,-0.31,156.60,37.60,48.20,249.75,51.04,57.64,287.26

12Z 30Jul2015,72274,1.35,173.79,32.10,44.40,59.64,0.67,2.41,286.18

12Z 01Aug2015,72274,-1.51,212.61,35.30,50.00,200.72,13.36,17.86,286.03

12Z 02Aug2015,72274,-0.91,155.19,39.50,49.00,258.67,21.13,26.91,285.76

12Z 03Aug2015,72274,0.34,134.01,33.70,47.40,97.27,8.24,18.67,282.73

12Z 04Aug2015,72274,3.19,120.18,28.50,42.80,136.63,106.97,143.01,282.90

12Z 05Aug2015,72274,3.54,127.81,27.50,42.20,0.00,0.00,0.00,277.01

12Z 06Aug2015,72274,-1.96,214.60,41.30,51.00,459.08,20.15,22.63,285.43

12Z 07Aug2015,72274,-3.87,279.19,41.40,51.80,987.06,734.10,817.93,287.95

12Z 08Aug2015,72274,-2.24,231.00,38.80,47.30,398.06,7.16,9.48,289.33

12Z 09Aug2015,72274,-0.50,167.99,39.70,47.80,530.28,103.86,130.38,287.33

12Z 10Aug2015,72274,-1.05,191.78,38.60,47.00,221.95,13.62,15.78,288.85

