anio,mes,dia,hora(utc),altura(mm)
2016,2,6,17,1686 
2016,2,6,18,2664 
2016,2,6,19,3395 
2016,2,6,20,3665 
2016,2,6,21,3407 
2016,2,6,22,2670 
2016,2,6,23,1612 
2016,2,7,0,539 
2016,2,7,1,-226 
2016,2,7,2,-562 
2016,2,7,3,-460 
2016,2,7,4,164 
2016,2,7,5,1285 
2016,2,7,6,2605 
2016,2,7,7,3747 
2016,2,7,8,4440 
2016,2,7,9,4553 
2016,2,7,10,4075 
2016,2,7,11,3104 
2016,2,7,12,1884 
2016,2,7,13,786 
2016,2,7,14,85 
2016,2,7,15,-144 
2016,2,7,16,159 
2016,2,7,17,1018 
2016,2,7,18,2199 
2016,2,7,19,3278 
2016,2,7,20,3919 
2016,2,7,21,3973 
2016,2,7,22,3421 
2016,2,7,23,2367 
2016,2,8,0,1082 
2016,2,8,1,-24 
2016,2,8,2,-664 
2016,2,8,3,-816 
2016,2,8,4,-467 
2016,2,8,5,486 
2016,2,8,6,1908 
2016,2,8,7,3347 
2016,2,8,8,4388 
2016,2,8,9,4835 
2016,2,8,10,4627 
2016,2,8,11,3796 
2016,2,8,12,2522 
2016,2,8,13,1175 
2016,2,8,14,160 
2016,2,8,15,-342 
2016,2,8,16,-319 
2016,2,8,17,297 
2016,2,8,18,1470 
2016,2,8,19,2819 
2016,2,8,20,3854 
2016,2,8,21,4298 
2016,2,8,22,4075 
2016,2,8,23,3217 
2016,2,9,0,1906 
2016,2,9,1,530 
2016,2,9,2,-481 
2016,2,9,3,-939 
2016,2,9,4,-878 
2016,2,9,5,-243 
2016,2,9,6,1029 
2016,2,9,7,2631 
2016,2,9,8,4013 
2016,2,9,9,4828 
2016,2,9,10,4976 
2016,2,9,11,4435 
2016,2,9,12,3291 
2016,2,9,13,1837 
2016,2,9,14,521 
2016,2,9,15,-309 
2016,2,9,16,-577 
2016,2,9,17,-282 
2016,2,9,18,640 
2016,2,9,19,2034 
2016,2,9,20,3398 
2016,2,9,21,4266 
2016,2,9,22,4462 
2016,2,9,23,3969 
2016,2,10,0,2866 
2016,2,10,1,1427 
2016,2,10,2,100 
2016,2,10,3,-741 
2016,2,10,4,-1003 
2016,2,10,5,-715 
2016,2,10,6,199 
2016,2,10,7,1680 
2016,2,10,8,3273 
2016,2,10,9,4450 
2016,2,10,10,4986 
2016,2,10,11,4838 
2016,2,10,12,4010 
2016,2,10,13,2669 
2016,2,10,14,1200 
2016,2,10,15,39 
2016,2,10,16,-568 
2016,2,10,17,-602 
2016,2,10,18,-49 
2016,2,10,19,1102 
2016,2,10,20,2562 
2016,2,10,21,3793 
2016,2,10,22,4435 
2016,2,10,23,4403 
2016,2,11,0,3710 
2016,2,11,1,2486 
2016,2,11,2,1069 
2016,2,11,3,-105 
2016,2,11,4,-750 
2016,2,11,5,-821 
2016,2,11,6,-325 
2016,2,11,7,772 
2016,2,11,8,2273 
2016,2,11,9,3678 
2016,2,11,10,4577 
2016,2,11,11,4844 
2016,2,11,12,4451 
2016,2,11,13,3444 
2016,2,11,14,2071 
2016,2,11,15,733 
2016,2,11,16,-214 
2016,2,11,17,-605 
2016,2,11,18,-430 
2016,2,11,19,314 
2016,2,11,20,1545 
2016,2,11,21,2901 
2016,2,11,22,3915 
2016,2,11,23,4352 
2016,2,12,0,4171 
2016,2,12,1,3394 
2016,2,12,2,2197 
2016,2,12,3,931 
2016,2,12,4,-34 
2016,2,12,5,-488 
2016,2,12,6,-397 
2016,2,12,7,224 
2016,2,12,8,1330 
2016,2,12,9,2656 
2016,2,12,10,3769 
2016,2,12,11,4392 
2016,2,12,12,4444 
2016,2,12,13,3904 
2016,2,12,14,2871 
2016,2,12,15,1625 
2016,2,12,16,500 
2016,2,12,17,-232 
2016,2,12,18,-437 
2016,2,12,19,-115 
2016,2,12,20,686 
2016,2,12,21,1822 
2016,2,12,22,2961 
2016,2,12,23,3761 
2016,2,13,0,4069 
2016,2,13,1,3844 
2016,2,13,2,3118 
2016,2,13,3,2085 
2016,2,13,4,1054 
2016,2,13,5,310 
2016,2,13,6,18 
2016,2,13,7,196 
2016,2,13,8,795 
2016,2,13,9,1727 
2016,2,13,10,2753 
2016,2,13,11,3559 
2016,2,13,12,3959 
2016,2,13,13,3884 
2016,2,13,14,3332 
2016,2,13,15,2429 
2016,2,13,16,1406 
2016,2,13,17,507 
2016,2,13,18,-41 
2016,2,13,19,-116 
2016,2,13,20,237 
2016,2,13,21,929 
2016,2,13,22,1844 
2016,2,13,23,2747 
2016,2,14,0,3400 
2016,2,14,1,3674 
2016,2,14,2,3515 
2016,2,14,3,2962 
